Bloodsail Raider,1,Common,2
Dire Wolf Alpha,2,Common,2
Explosive Sheep,2,Common,2
Faerie Dragon,2,Common,2
Gilblin Stalker,2,Common,2
Haunted Creeper,2,Common,2
Ironbeak Owl,2,Common,2
Loot Hoarder,2,Common,2
Mad Bomber,1,Common,2
Mad Scientist,2,Common,2
Mechwarper,2,Common,2
Micro Machine,2,Common,2
Nerub'ar Weblord,2,Common,2
Puddlestomper,2,Common,2
Ship's Cannon,2,Common,2
Stonesplinter Trogg,2,Common,2
Unstable Ghoul,2,Common,2
Youthful Brewmaster,2,Common,2
Acolyte of Pain,2,Common,3
Dancing Swords,2,Common,3
Earthen Ring Farseer,2,Common,3
Flesheating Ghoul,2,Common,3
Flying Machine,2,Common,3
Gnomeregan Infantry,1,Common,3
Harvest Golem,2,Common,3
Jungle Panther,2,Common,3
Ogre Brute,2,Common,3
Raging Worgen,2,Common,3
Scarlet Crusader,2,Common,3
Spider Tank,2,Common,3
Stoneskin Gargoyle,2,Common,3
Tauren Warrior,2,Common,3
Thrallmar Farseer,2,Common,3
Tinkertown Technician,2,Common,3
Ancient Brewmaster,2,Common,4
Burly Rockjaw Trogg,1,Common,4
Cult Master,2,Common,4
Dark Iron Dwarf,2,Common,4
Dread Corsair,2,Common,4
Lost Tallstrider,2,Common,4
Mechanical Yeti,2,Common,4
Mogu'shan Warden,2,Common,4
Piloted Shredder,2,Common,4
Silvermoon Guardian,2,Common,4
Spellbreaker,2,Common,4
Antique Healbot,1,Common,5
Fen Creeper,2,Common,5
Salty Dog,2,Common,5
Silver Hand Knight,2,Common,5
Spectral Knight,2,Common,5
Spiteful Smith,2,Common,5
Stranglethorn Tiger,2,Common,5
Venture Co. Mercenary,2,Common,5
Frost Elemental,2,Common,6
Priestess of Elune,2,Common,6
Windfury Harpy,2,Common,6
Force-Tank MAX,2,Common,8
Target Dummy,2,Rare,0
Angry Chicken,0,Rare,1
Bloodsail Corsair,0,Rare,1
Lightwarden,1,Rare,1
Murloc Tidecaller,1,Rare,1
Secretkeeper,0,Rare,1
Young Priestess,1,Rare,1
Ancient Watcher,2,Rare,2
Crazed Alchemist,2,Rare,2
Knife Juggler,2,Rare,2
Mana Addict,2,Rare,2
Mana Wraith,1,Rare,2
Master Swordsmith,2,Rare,2
Nerubian Egg,2,Rare,2
Pint-Sized Summoner,2,Rare,2
Sunfury Protector,2,Rare,2
Wild Pyromancer,2,Rare,2
Alarm-o-Bot,0,Rare,3
Arcane Golem,1,Rare,3
Coldlight Oracle,2,Rare,3
Coldlight Seer,1,Rare,3
Deathlord,2,Rare,3
Demolisher,1,Rare,3
Emperor Cobra,2,Rare,3
Gnomish Experimenter,0,Rare,3
Goblin Sapper,1,Rare,3
Illuminator,1,Rare,3
Imp Master,0,Rare,3
Injured Blademaster,0,Rare,3
Lil' Exorcist,0,Rare,3
Mind Control Tech,2,Rare,3
Questing Adventurer,1,Rare,3
Ancient Mage,2,Rare,4
Arcane Nullifier X-21,0,Rare,4
Defender of Argus,2,Rare,4
Jeeves,0,Rare,4
Kezan Mystic,0,Rare,4
Twilight Drake,0,Rare,4
Violet Teacher,2,Rare,4
Wailing Soul,2,Rare,4
Abomination,0,Rare,5
Azure Drake,2,Rare,5
Bomb Lobber,1,Rare,5
Madder Bomber,1,Rare,5
Sludge Belcher,2,Rare,5
Stampeding Kodo,2,Rare,5
Argent Commander,2,Rare,6
Gadgetzan Auctioneer,2,Rare,6
Sunwalker,2,Rare,6
Ravenholdt Assassin,0,Rare,7
Hungry Crab,0,Epic,1
Captain's Parrot,0,Epic,2
Doomsayer,2,Epic,2
Echoing Ooze,2,Epic,2
Recombobulator,0,Epic,2
Big Game Hunter,1,Epic,3
Blood Knight,0,Epic,3
Hobgoblin,0,Epic,3
Murloc Warleader,0,Epic,3
Shade of Naxxramas,2,Epic,3
Southsea Captain,0,Epic,3
Enhance-o Machano,0,Epic,4
Mini-Mage,0,Epic,4
Faceless Manipulator,1,Epic,5
Fel Reaver,1,Epic,5
Junkbot,0,Epic,5
Piloted Sky Golem,1,Epic,6
Sea Giant,0,Epic,10
Clockwork Giant,0,Epic,12
Mountain Giant,1,Epic,12
Molten Gian,0,Epic,20
Bloodmage Thalnos,1,Legendary,2
Lorewalker Cho,0,Legendary,2
Millhouse Manastorm,0,Legendary,2
Nat Pagle,0,Legendary,2
King Mukla,0,Legendary,3
Tinkmaster Overspark,0,Legendary,3
Baron Rivendare,1,Legendary,4
Old Murk-Eye,0,Legendary,4
Leeroy Jenkins,0,Legendary,5
Blingtron 3000,0,Legendary,5
Captain Greenskin,0,Legendary,5
Elite Tauren Chieftan,0,Legendary,5
Feugen,1,Legendary,5
Harrison Jones,0,Legendary,5
Hemet Nesingwary,0,Legendary,5
Mimiron's Head,0,Legendary,5
Loatheb,1,Legendary,5
Stalagg,1,Legendary,5
Cairne Bloodhoof,0,Legendary,6
Gazlowe,0,Legendary,6
Gelbin Mekkatorque,0,Legendary,6
Hogger,1,Legendary,6
Illidan Stormrage,0,Legendary,6
Maexxna,1,Legendary,6
Mogor the Ogre,0,Legendary,6
Sylvanas Windrunner,1,Legendary,6
The Beast,0,Legendary,6
The Black Knight,0,Legendary,6
Toshley,0,Legendary,6
Baron Geddon,1,Legendary,7
Dr. Boom,1,Legendary,7
Troggzor the Earthinator,1,Legendary,7
Foe Reaper 4000,0,Legendary,8
Gruul,0,Legendary,8
Kel'Thuzad,1,Legendary,8
Ragnaros the Firelord,0,Legendary,8
Sneed's Old Shredder,0,Legendary,8
Alexstrasza,0,Legendary,9
Malygos,0,Legendary,9
Mekgineer Thermaplugg,0,Legendary,9
Nozdormu,0,Legendary,9
Onyxia,1,Legendary,9
Ysera,0,Legendary,9
Deathwing,0,Legendary,10
